Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,name_normalized
4899,Duke Nukem 3D: 20th Anniversary World Tour,https://www.imdb.com/title/tt12529340/?ref_=adv_li_tt,2016.0,,8.1,27,"Join the world's greatest action hero in Duke Nukem 3D: 20th Anniversary World Tour as he saves Earth once again, kicking alien ass and saving babes.",True,True,True,False,False,False,False,False,False,duke nukem 3d: 20th anniversary world tour
4902,The Elder Scrolls III: Tribunal,https://www.imdb.com/title/tt0406734/?ref_=adv_li_tt,2002.0,,8.1,354,Expansion pack for The Elder Scrolls III: Morrowind (2002). The City of Light and Magic is about to change.,True,True,False,False,False,True,False,False,False,the elder scrolls iii: tribunal
4923,Culdcept Saga,https://www.imdb.com/title/tt1230123/?ref_=adv_li_tt,2006.0,T,8.6,9,"A young man, sold into slavery in order to provide economic relief for his struggling village, becomes a Cepter, a powerful individual who can control magical cards. Using the cards, he hopes to free himself and restore peace to the land.",True,True,False,False,False,False,False,False,False,culdcept saga
4933,Samurai Warriors 2: Empires,https://www.imdb.com/title/tt0993781/?ref_=adv_li_tt,2006.0,T,8.2,40,Add a Plot,True,True,False,False,False,True,False,False,False,samurai warriors 2: empires
4942,Sword Art Online: Alicization Rising Steel,https://www.imdb.com/title/tt11333162/?ref_=adv_li_tt,2019.0,,8.2,30,Add a Plot,True,False,False,False,False,False,False,False,False,sword art online: alicization rising steel
4949,Vanguard Bandits,https://www.imdb.com/title/tt0378961/?ref_=adv_li_tt,1999.0,T,8.1,24,A young man and his team are thrust into dangerous war by the evil General Faulkner and his minions.,True,True,False,False,False,True,False,False,False,vanguard bandits
4951,Mass Effect 3: From Ashes,https://www.imdb.com/title/tt15404212/?ref_=adv_li_tt,2012.0,M,8.1,47,Unearth lost secrets from the past and recruit the Prothean squad member in The Prothean Pack. Also includes a new appearance for each squad member.,True,True,False,False,False,False,False,True,False,mass effect 3: from ashes
4967,The Battle Cats,https://www.imdb.com/title/tt5813310/?ref_=adv_li_tt,2012.0,T,8.3,19,The battle cats want to conquer the world country by country and you have to help them in their conquest. Overcome the different and varied levels and enemies that this video game offers us.,True,True,True,False,False,False,False,False,False,the battle cats
4980,Drakensang: The River of Time,https://www.imdb.com/title/tt1613717/?ref_=adv_li_tt,2010.0,,8.5,110,"The prequel to Radon Labs' award-winning RPG, Drakensang: The River of Time introduces a brand new story within the Drakensang universe.",True,True,False,False,False,True,False,False,False,drakensang: the river of time
4993,Independence War 2: Edge of Chaos,https://www.imdb.com/title/tt1064882/?ref_=adv_li_tt,2001.0,,8.3,18,"After 15 years in prison, Cal escapes and with the help of the AI from the first game becomes a space pirate. His goal is to find the corporate heir who murdered his space miner dad and framed him, but becomes key to saving the galaxy.",True,True,False,True,False,False,False,False,False,independence war 2: edge of chaos
5001,Champions Online,https://www.imdb.com/title/tt1392980/?ref_=adv_li_tt,2009.0,T,8.1,35,A superhero themed massively multiplayer online role-playing game,True,True,False,False,False,True,False,False,False,champions online
5004,Front Mission 3,https://www.imdb.com/title/tt0404973/?ref_=adv_li_tt,1999.0,T,8.4,76,"Yokosuka, Japan, 2112 AD. The young student Kazuki Takemura works as a test pilot with Kirishima Industries, a production company of military battle wanzers (walking tanks), mechanized ... See full summary »",True,False,False,False,False,False,False,True,False,front mission 3
5022,Rez,https://www.imdb.com/title/tt0363941/?ref_=adv_li_tt,2001.0,E,8.4,128,"Rez is a musical rail shooter set in a futuristic computer network called Project-K, where a virus named Swayzak invades the mainframe of the Project-K system.",True,False,False,False,False,False,False,True,False,rez
